model,method,run,group_count,group_size_mean,group_size_std,mc_edges_count,N,sources,N_perc,sources_perc,n_min_trap,n_attractors,update_scheme
n010_195.bnet,random_mc,28,5,204.8,167.0848886045653,17,10,0,10,0,2,2,asynchronous
n010_195.bnet,random_mc,29,5,204.8,166.63781083535633,17,10,0,10,0,2,2,asynchronous
n010_196.bnet,sd_mc,0,7,36.57142857142857,54.69358056574867,21,10,0,8,0,2,2,asynchronous
n010_196.bnet,null_mc,0,3,85.33333333333333,119.26534376013103,5,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,0,7,36.57142857142857,22.902633303725096,36,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,1,7,36.57142857142857,22.908870040458396,33,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,2,7,36.57142857142857,22.915105079757467,35,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,3,7,36.57142857142857,23.693622667334786,35,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,4,7,36.57142857142857,23.08281452792558,36,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,5,7,36.57142857142857,23.939549720417183,36,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,6,7,36.57142857142857,23.02084237540993,37,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,7,7,36.57142857142857,22.68326723038147,36,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,8,7,36.57142857142857,22.670667914145568,34,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,9,7,36.57142857142857,23.855859674644435,36,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,10,7,36.57142857142857,24.19478776724526,36,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,11,7,36.57142857142857,23.765864733491444,34,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,12,7,36.57142857142857,22.582275874531987,35,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,13,7,36.57142857142857,23.32293257018657,35,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,14,7,36.57142857142857,23.18162537662191,35,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,15,7,36.57142857142857,22.840172271411507,35,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,16,7,36.57142857142857,23.945516388293672,36,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,17,7,36.57142857142857,23.132272711870023,34,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,18,7,36.57142857142857,23.31067899272865,35,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,19,7,36.57142857142857,22.908870040458396,35,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,20,7,36.57142857142857,23.38410414214349,33,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,21,7,36.57142857142857,22.8839128950395,35,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,22,7,36.57142857142857,22.821400625960983,36,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,23,7,36.57142857142857,22.733594668037263,34,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,24,7,36.57142857142857,23.31067899272865,34,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,25,7,36.57142857142857,23.43292642450632,36,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,26,7,36.57142857142857,24.088273038123422,35,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,27,7,36.57142857142857,22.65806159189353,35,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,28,7,36.57142857142857,22.80261352725756,34,10,0,8,0,2,2,asynchronous
n010_196.bnet,random_mc,29,7,36.57142857142857,23.18162537662191,35,10,0,8,0,2,2,asynchronous
n010_198.bnet,sd_mc,0,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
n010_198.bnet,null_mc,0,3,1.3333333333333333,0.4714045207910317,5,10,0,2,0,2,2,asynchronous
n010_198.bnet,random_mc,0,4,1.0,0.0,6,10,0,2,0,2,2,asynchronous
