model,method,run,TP,FP,TN,FN,n_states,n_attractors,update_scheme
n010_846.bnet,random_mc,4,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,5,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,6,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,7,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,8,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,9,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,10,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,11,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,12,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,13,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,14,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,15,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,16,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,17,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,18,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,19,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,20,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,21,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,22,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,23,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,24,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,25,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,26,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,27,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,28,7,0,466,39,512,4,asynchronous
n010_846.bnet,random_mc,29,7,0,466,39,512,4,asynchronous
n010_847.bnet,sd_mc,,272,0,112,128,512,2,asynchronous
n010_847.bnet,null_mc,,5,0,112,395,512,2,asynchronous
n010_847.bnet,ref,,0,0,112,400,512,2,asynchronous
n010_847.bnet,random_mc,0,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,1,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,2,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,3,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,4,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,5,5,0,112,395,512,2,asynchronous
n010_847.bnet,random_mc,6,5,0,112,395,512,2,asynchronous
