bnet,method,run,rmsd,n_states,n_attractors,update_scheme
n010_011.bnet,random_mc,18.0,0.28061260705155094,512,3,asynchronous
n010_011.bnet,random_mc,19.0,0.28929631623373153,512,3,asynchronous
n010_011.bnet,random_mc,20.0,0.28808963860868353,512,3,asynchronous
n010_011.bnet,random_mc,21.0,0.2877557658757448,512,3,asynchronous
n010_011.bnet,random_mc,22.0,0.2864980743367311,512,3,asynchronous
n010_011.bnet,random_mc,23.0,0.28499399444871965,512,3,asynchronous
n010_011.bnet,random_mc,24.0,0.2842581649077748,512,3,asynchronous
n010_011.bnet,random_mc,25.0,0.28645723100041476,512,3,asynchronous
n010_011.bnet,random_mc,26.0,0.28397780831615044,512,3,asynchronous
n010_011.bnet,random_mc,27.0,0.2857248732385137,512,3,asynchronous
n010_011.bnet,random_mc,28.0,0.2881139707540406,512,3,asynchronous
n010_011.bnet,random_mc,29.0,0.2899555667903104,512,3,asynchronous
n010_013.bnet,sd_mc,,0.0018042195912175742,16,3,asynchronous
n010_013.bnet,null_mc,,0.1260938468091326,16,3,asynchronous
n010_013.bnet,ref,,0.27848759136030937,16,3,asynchronous
n010_013.bnet,random_mc,0.0,0.10837942609844772,16,3,asynchronous
n010_013.bnet,random_mc,1.0,0.09707779684834214,16,3,asynchronous
n010_013.bnet,random_mc,2.0,0.16834377828987232,16,3,asynchronous
n010_013.bnet,random_mc,3.0,0.13447448122118413,16,3,asynchronous
n010_013.bnet,random_mc,4.0,0.14237743731380764,16,3,asynchronous
n010_013.bnet,random_mc,5.0,0.07074519639169859,16,3,asynchronous
n010_013.bnet,random_mc,6.0,0.11607356501889708,16,3,asynchronous
n010_013.bnet,random_mc,7.0,0.1475847664447948,16,3,asynchronous
n010_013.bnet,random_mc,8.0,0.12513943116437304,16,3,asynchronous
n010_013.bnet,random_mc,9.0,0.15043224275162995,16,3,asynchronous
n010_013.bnet,random_mc,10.0,0.11645255650549997,16,3,asynchronous
n010_013.bnet,random_mc,11.0,0.11344827951033308,16,3,asynchronous
n010_013.bnet,random_mc,12.0,0.13470150858189747,16,3,asynchronous
n010_013.bnet,random_mc,13.0,0.08421369290114654,16,3,asynchronous
n010_013.bnet,random_mc,14.0,0.12496705040011095,16,3,asynchronous
n010_013.bnet,random_mc,15.0,0.13588223752988646,16,3,asynchronous
n010_013.bnet,random_mc,16.0,0.06555676015548154,16,3,asynchronous
n010_013.bnet,random_mc,17.0,0.14483649410210436,16,3,asynchronous
n010_013.bnet,random_mc,18.0,0.1344139289609833,16,3,asynchronous
n010_013.bnet,random_mc,19.0,0.1312988398515208,16,3,asynchronous
n010_013.bnet,random_mc,20.0,0.09813634511512433,16,3,asynchronous
n010_013.bnet,random_mc,21.0,0.13852255507277106,16,3,asynchronous
n010_013.bnet,random_mc,22.0,0.03823072771563032,16,3,asynchronous
n010_013.bnet,random_mc,23.0,0.1411768492982393,16,3,asynchronous
n010_013.bnet,random_mc,24.0,0.13568204904470976,16,3,asynchronous
n010_013.bnet,random_mc,25.0,0.12155908574896818,16,3,asynchronous
n010_013.bnet,random_mc,26.0,0.07556801911321555,16,3,asynchronous
n010_013.bnet,random_mc,27.0,0.06510748182120663,16,3,asynchronous
n010_013.bnet,random_mc,28.0,0.1339079449091057,16,3,asynchronous
n010_013.bnet,random_mc,29.0,0.0716331727426126,16,3,asynchronous
n010_015.bnet,sd_mc,,0.07735651798481764,1024,6,asynchronous
n010_015.bnet,null_mc,,0.15741021700270671,1024,6,asynchronous
n010_015.bnet,ref,,0.39989606662189053,1024,6,asynchronous
n010_015.bnet,random_mc,0.0,0.15745772267896846,1024,6,asynchronous
